CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
228,Female,30,47,53
229,Female,46,47,56
230,Male,42,129,52
231,Female,51,127,98
232,Male,35,104,82
233,Male,37,90,67
234,Female,31,82,80
235,Male,54,97,61
236,Male,55,122,37
237,Male,23,61,32
238,Female,42,129,64
239,Female,43,84,49
240,Female,48,61,71
241,Female,32,128,53
242,Female,24,75,79
243,Male,22,68,55
244,Female,48,93,20
245,Male,52,77,20
246,Female,57,80,47
247,Male,47,87,49
248,Female,55,65,12
249,Female,36,56,15
250,Male,24,106,36
251,Male,26,40,70
252,Male,37,53,98
253,Female,26,104,38
254,Male,54,106,71
255,Female,22,108,58
256,Male,56,65,82
257,Male,50,125,56
258,Male,52,67,25
259,Female,55,101,82
260,Male,33,109,28
261,Male,34,127,88
262,Female,49,41,4
263,Male,48,55,38
264,Female,53,112,58
265,Male,59,52,34
266,Female,38,123,62
267,Male,57,127,15
268,Male,43,44,60
269,Male,60,125,80
270,Male,51,94,85
271,Male,59,130,9
272,Male,50,50,40
273,Male,35,87,23
274,Male,34,96,72
275,Male,36,74,25
276,Female,44,109,86
277,Male,46,109,35
278,Female,42,106,34
279,Female,38,106,51
280,Male,26,84,1
281,Female,57,66,65
282,Male,52,125,4
283,Male,24,129,25
284,Male,52,84,40
285,Male,26,41,63
286,Female,23,55,94
287,Female,39,82,24
288,Female,50,78,31
289,Male,49,85,68
290,Female,26,119,67
291,Female,46,117,68
292,Male,25,119,11
293,Male,40,45,66
294,Male,25,76,40
295,Male,40,51,27
296,Female,52,51,15
297,Male,28,45,5
298,Male,53,57,74
299,Female,49,75,15
300,Female,41,125,87
301,Female,42,62,88
302,Male,29,114,9
303,Female,60,60,15
304,Female,39,118,94
305,Male,38,41,45
306,Female,57,111,51
307,Female,53,101,97
308,Male,39,101,50
309,Female,48,92,92
310,Male,37,48,89
311,Male,59,97,76
312,Female,48,118,66
313,Female,51,106,91
314,Female,46,112,23
315,Female,34,86,28
316,Male,42,70,65
317,Female,54,59,99
318,Female,28,59,14
319,Female,52,124,32
320,Female,33,51,34
321,Female,60,96,20
322,Female,34,127,26
323,Female,30,89,37
324,Male,53,123,42
325,Female,53,41,31
326,Male,47,130,56
327,Male,22,76,11
328,Male,43,105,11
329,Male,51,106,56
330,Male,40,81,30
331,Male,46,118,36
332,Male,50,77,18
333,Female,58,110,7
334,Male,39,126,87
335,Male,26,117,3
336,Female,41,128,80
337,Female,30,60,12
338,Female,29,128,55
339,Male,35,99,85
340,Female,24,68,48
341,Male,25,112,72
342,Male,49,63,97
343,Male,44,64,18
344,Male,42,108,76
345,Female,34,130,81
346,Female,35,76,79
347,Female,52,49,56
348,Male,26,65,77
349,Female,26,82,89
350,Female,53,62,11
351,Male,39,85,98
352,Male,48,94,29
353,Male,30,64,33
354,Female,56,93,88
355,Female,27,65,31
356,Male,58,118,84
357,Female,29,42,86
358,Male,56,107,62
359,Female,37,56,34
360,Male,22,72,99
361,Male,31,55,5
362,Male,48,91,49
363,Male,41,81,46
364,Female,50,107,2
365,Male,36,76,85
366,Male,53,61,65
367,Female,24,95,90
368,Female,23,86,57
369,Male,57,117,66
370,Female,41,118,77
371,Male,40,83,48
372,Female,31,111,1
373,Female,25,98,82
374,Male,50,63,3
375,Male,49,113,23
376,Male,57,83,17
377,Male,43,63,37
378,Female,48,112,27
379,Male,37,93,57
380,Female,30,59,27
381,Female,34,43,43
382,Female,23,40,36
383,Male,57,72,56
384,Female,27,92,22
385,Male,28,105,17
386,Female,35,118,13
387,Male,28,47,79
388,Female,29,98,58
389,Female,56,84,38
390,Female,28,51,98
391,Male,42,44,72
392,Male,42,47,72
393,Male,41,114,3
394,Male,33,77,67
395,Female,23,100,90
396,Male,44,51,51
397,Female,24,89,15
398,Female,45,46,14
399,Male,43,105,49
400,Female,49,109,42
401,Male,29,110,33
402,Male,30,91,83
403,Female,26,98,76
404,Female,38,64,70
405,Female,26,109,90
406,Male,23,130,48
407,Female,22,103,80
408,Male,28,71,68
409,Female,34,87,22
410,Male,35,124,54
411,Male,53,61,30
412,Male,46,95,27
413,Male,53,79,19
414,Female,50,86,58
415,Male,52,42,84
416,Female,31,66,74
417,Male,55,73,69
418,Male,41,93,82
419,Female,58,73,97
420,Female,25,86,30
421,Male,40,62,53
422,Female,42,63,1
423,Male,32,119,51
424,Male,45,129,3
425,Female,50,55,42
426,Male,51,98,32
427,Female,50,85,60
428,Male,50,45,7
429,Male,29,112,5
430,Male,27,78,98
431,Female,45,100,87
432,Female,27,51,61
433,Male,55,120,52
434,Female,41,58,39
435,Female,34,61,56
436,Female,26,121,62
437,Female,42,78,96
438,Male,31,123,56
439,Female,37,125,8
440,Male,41,103,63
441,Female,31,69,31
442,Female,48,93,42
443,Female,50,129,84
444,Male,31,115,38
445,Male,49,121,43
446,Male,33,57,30
447,Male,32,41,28
448,Male,27,65,37
449,Female,37,116,82
450,Female,59,125,60
451,Female,37,69,70
452,Female,54,41,92
453,Male,60,119,33
454,Female,26,57,86
455,Female,45,66,63
456,Male,56,90,7
457,Male,52,44,65
458,Male,44,116,84
459,Female,55,128,39
460,Female,24,79,30
461,Male,41,116,40
462,Male,35,57,79
463,Female,47,41,59
464,Male,46,95,93
465,Female,42,84,27
466,Male,49,110,56
467,Male,60,40,41
468,Female,31,79,32
469,Male,34,73,20
470,Female,39,102,93
471,Male,41,65,43
472,Male,55,108,87
473,Male,50,100,43
474,Male,42,107,6
475,Female,56,88,19
476,Female,57,66,79
477,Male,46,125,75
478,Male,57,105,28
479,Male,57,66,96
480,Female,44,58,29
481,Female,48,64,37
482,Male,49,67,56
483,Female,58,95,70
484,Female,47,43,19
485,Female,43,116,52
486,Male,47,119,35
487,Male,43,77,15
488,Female,39,70,62
489,Female,45,88,67
490,Female,60,66,19
491,Male,29,96,89
492,Female,22,116,19
493,Female,56,87,36
494,Female,59,57,11
495,Male,57,91,46
496,Male,50,115,27
497,Female,23,64,98
498,Male,35,129,71
499,Male,41,96,84
500,Male,25,82,9
501,Female,32,68,93
502,Male,29,108,9
503,Female,55,77,46
504,Male,26,61,6
505,Male,54,114,87
506,Male,23,121,100
507,Female,55,98,14
508,Female,44,110,8
509,Female,42,44,36
510,Female,30,55,25
511,Female,36,119,25
512,Female,44,53,74
513,Male,52,45,7
514,Male,53,80,43
515,Male,42,66,56
516,Male,22,55,40
517,Female,28,56,47
518,Female,44,49,29
519,Male,44,76,82
520,Male,39,115,93
521,Female,24,119,39
522,Female,54,66,2
523,Female,50,128,9
524,Male,57,119,30
525,Female,60,78,69
526,Male,60,63,11
527,Male,34,76,26
528,Female,23,40,62
529,Female,29,67,67
530,Female,50,102,93
531,Female,57,124,52
532,Female,38,68,40
533,Female,53,86,56
534,Female,48,104,33
535,Female,52,122,41
536,Female,29,68,93
537,Male,44,57,66
538,Male,27,45,70
539,Male,34,43,10
540,Female,31,41,56
541,Female,42,87,45
542,Female,48,74,62
543,Female,31,71,34
544,Male,25,121,36
545,Male,56,110,35
546,Female,52,58,45
547,Female,55,95,68
548,Male,59,107,83
549,Male,53,83,36
550,Female,55,58,12
551,Female,24,45,27
552,Female,27,58,1
553,Male,56,80,11
554,Male,24,87,60
555,Female,35,119,17
556,Female,57,63,43
557,Male,40,104,61
558,Male,59,42,60
559,Male,43,60,67
560,Female,41,71,99
561,Male,22,73,46
562,Female,43,40,18
563,Male,32,68,34
564,Female,45,42,7
565,Male,51,115,8
566,Male,44,57,69
567,Female,30,126,64
568,Female,47,48,47
569,Female,54,109,28
570,Male,25,112,27
571,Female,59,129,40
572,Female,31,50,61
573,Male,59,114,9
574,Female,59,130,66
575,Female,23,54,13
576,Female,47,117,45
577,Female,23,127,70
578,Male,28,82,10
579,Female,37,112,90
580,Female,44,74,10
581,Female,60,93,12
582,Female,58,90,89
583,Female,51,98,7
584,Male,50,123,57
585,Female,23,43,14
586,Female,44,72,96
587,Female,36,95,60
588,Female,55,98,63
589,Male,45,65,11
590,Female,35,103,83
591,Female,22,122,5
592,Male,60,41,5
593,Male,39,42,48
594,Female,30,115,12
595,Male,38,101,93
596,Male,36,58,29
597,Female,30,83,98
598,Male,48,81,99
599,Female,39,54,93
600,Male,22,91,93
601,Male,30,77,46
602,Female,47,41,80
603,Male,45,106,57
604,Male,45,92,83
605,Female,32,103,20
606,Female,46,98,1
607,Male,46,41,33
608,Female,35,114,11
609,Female,43,116,38
610,Male,24,86,58
611,Female,34,86,86
612,Male,38,53,34
613,Male,56,121,3
614,Female,50,120,83
615,Female,41,124,54
616,Female,57,79,18
617,Male,26,49,10
618,Female,58,72,17
619,Female,28,121,18
620,Female,24,96,18
621,Female,39,112,50
622,Male,49,109,70
623,Male,47,82,46
624,Male,57,112,4
625,Male,34,86,91
626,Female,28,68,94
627,Male,36,130,28
628,Female,60,95,55
629,Male,39,101,79
630,Female,54,68,90
631,Female,43,73,97
632,Female,52,120,25
633,Female,57,79,96
634,Male,31,118,43
635,Female,35,76,82
636,Female,47,46,15
637,Male,33,115,27
638,Female,30,71,36
639,Female,51,49,86
640,Male,44,76,24
641,Female,26,70,93
642,Male,55,95,93
643,Female,36,73,88
644,Female,51,114,29
645,Male,58,71,76
646,Male,56,71,57
647,Male,27,66,72
648,Male,32,123,33
649,Female,58,104,83
650,Male,36,69,87
651,Male,43,45,73
652,Female,27,128,15
653,Female,60,127,40
654,Male,52,90,68
655,Female,26,105,89
656,Male,51,124,6
657,Female,42,99,50
658,Female,46,78,56
659,Male,25,114,59
660,Male,43,72,38
661,Male,23,77,43
662,Male,47,89,6
663,Female,28,61,13
664,Female,45,130,78
665,Female,39,89,62
666,Male,42,126,85
667,Female,35,126,13
668,Male,41,91,25
669,Male,55,45,71
670,Male,34,85,77
671,Female,47,50,90
672,Female,33,92,51
673,Male,57,66,98
674,Female,38,105,7
675,Female,27,92,74
676,Female,40,67,88
677,Female,48,75,85
678,Female,27,64,31
679,Female,51,123,6
680,Male,59,100,41
681,Male,32,108,85
682,Male,23,63,27
683,Male,44,50,83
684,Male,32,42,50
685,Male,40,67,46
686,Male,44,93,77
687,Male,56,97,24
688,Female,41,111,6
689,Female,59,83,98
690,Male,43,74,29
691,Male,22,49,98
692,Female,55,123,30
693,Female,32,80,62
694,Female,23,45,89
695,Female,60,96,35
696,Female,49,82,29
697,Male,53,54,41
698,Male,60,89,80
699,Female,43,101,14
700,Male,36,104,58
701,Female,59,125,89
702,Male,57,116,23
703,Male,44,106,60
704,Male,33,44,13
705,Male,26,123,34
706,Male,28,85,62
707,Female,32,59,24
708,Female,35,45,44
709,Female,26,114,49
710,Male,48,48,7
711,Male,36,57,75
712,Male,52,117,7
713,Male,53,115,100
714,Male,53,84,1
715,Male,47,83,30
716,Female,38,43,52
717,Male,25,61,90
718,Male,60,70,28
719,Male,41,113,62
720,Female,55,78,28
721,Female,51,96,63
722,Male,51,62,45
723,Male,39,56,93
724,Female,45,69,97
725,Male,34,105,88
726,Female,34,85,29
727,Female,25,94,8
728,Female,47,116,54
729,Male,52,92,74
730,Female,56,86,42
731,Male,36,50,27
732,Female,58,58,64
733,Male,57,73,33
734,Male,41,91,70
735,Male,51,124,36
736,Female,53,99,86
737,Female,26,61,68
738,Female,22,85,37
739,Female,37,44,64
740,Male,32,46,55
741,Female,57,126,15
742,Female,34,84,70
743,Male,40,94,19
744,Male,27,67,56
745,Female,26,49,1
746,Female,35,56,63
747,Female,51,72,25
748,Male,25,97,98
749,Male,26,42,25
750,Female,41,67,45
751,Female,49,90,33
752,Male,57,90,37
753,Male,22,58,13
754,Male,40,97,78
755,Male,27,67,26
756,Female,41,87,2
757,Male,28,60,53
758,Male,22,82,19
759,Male,46,74,94
760,Male,46,67,22
761,Female,42,84,12
762,Male,28,99,75
763,Male,60,99,41
764,Male,30,117,13
765,Male,34,123,25
766,Male,32,87,47
767,Male,23,129,23
768,Female,28,115,39
769,Female,52,112,72
770,Male,46,53,18
771,Female,23,103,9
772,Male,29,74,97
773,Female,48,74,83
774,Male,43,96,14
775,Male,60,123,99
776,Male,33,104,52
777,Female,54,63,72
778,Male,49,46,100
779,Female,58,59,39
780,Male,26,82,52
781,Male,40,43,82
782,Male,51,67,32
783,Male,42,103,67
784,Male,59,108,40
785,Female,45,76,32
786,Male,49,130,92
787,Male,33,61,91
788,Female,47,64,44
789,Female,25,129,14
790,Male,53,86,65
791,Female,24,85,21
792,Male,47,44,37
793,Female,30,46,61
794,Female,43,45,77
795,Male,49,67,40
796,Female,60,86,46
797,Male,45,40,4
798,Female,40,87,54
799,Female,31,100,24
800,Male,30,76,89
801,Female,25,90,3
802,Female,60,44,7
803,Male,39,46,17
804,Female,51,108,93
805,Female,36,76,29
806,Female,22,70,58
807,Male,33,81,48
808,Male,45,79,58
809,Male,33,64,83
810,Male,26,106,50
811,Female,34,111,12
812,Female,43,119,50
813,Female,24,98,85
814,Female,43,55,72
815,Male,22,101,74
816,Male,22,53,42
817,Male,28,67,90
818,Female,52,108,11
819,Male,26,68,5
820,Male,35,84,41
821,Male,31,92,81
822,Male,33,101,66
823,Female,23,74,24
824,Female,54,108,65
825,Female,31,117,81
826,Female,32,111,66
827,Female,54,84,89
828,Female,49,79,9
829,Female,41,59,2
830,Male,49,115,82
831,Male,40,115,23
832,Female,38,66,7
833,Male,37,89,98
834,Female,51,70,40
835,Male,27,58,33
836,Male,50,108,11
837,Male,47,128,54
838,Female,26,62,55
839,Male,39,89,35
840,Female,53,63,67
841,Male,58,68,15
842,Female,31,54,15
843,Male,26,78,35
844,Female,23,41,13
845,Female,41,97,20
846,Female,35,109,90
847,Female,51,66,85
848,Female,29,78,3
849,Male,25,62,23
850,Female,49,96,66
851,Female,45,129,39
852,Female,47,64,90
853,Male,33,67,44
854,Female,46,113,18
855,Male,27,46,81
856,Female,29,127,33
857,Male,44,108,92
858,Male,36,46,71
859,Female,45,108,42
860,Male,57,44,71
861,Female,49,98,26
862,Female,40,127,12
863,Male,34,129,62
864,Male,31,100,48
865,Male,34,66,9
866,Female,42,97,80
867,Female,32,47,32
868,Male,41,109,12
869,Female,33,89,10
870,Female,51,58,54
871,Female,46,83,79
872,Female,36,49,43
873,Male,30,76,33
874,Male,29,62,13
875,Female,39,79,49
876,Female,36,99,41
877,Male,49,64,62
878,Female,33,82,5
879,Male,49,65,88
880,Female,43,126,2
881,Female,34,63,94
882,Female,28,97,69
883,Male,43,64,80
884,Male,37,103,64
885,Female,26,90,36
886,Male,42,93,71
887,Male,55,75,70
888,Male,23,83,80
889,Female,22,69,35
890,Female,41,42,68
891,Female,25,94,3
892,Female,41,85,3
893,Male,48,100,72
894,Female,32,107,57
895,Female,50,60,13
896,Female,58,84,65
897,Male,22,118,99
898,Female,31,97,21
899,Female,35,90,21
900,Female,34,64,43
901,Female,59,40,51
902,Male,40,129,45
903,Male,53,69,92
904,Male,22,63,31
905,Female,52,48,67
906,Female,51,127,46
907,Female,53,102,57
908,Female,34,79,91
909,Male,58,105,3
910,Male,33,59,47
911,Female,46,72,54
912,Male,60,55,55
913,Female,22,112,9
914,Female,29,98,8
915,Male,43,86,75
916,Female,56,72,55
917,Female,60,75,71
918,Male,40,123,81
919,Male,22,92,23
920,Female,52,116,23
921,Male,47,99,62
922,Female,57,123,38
923,Male,55,77,48
924,Female,35,55,71
925,Male,57,104,72
926,Female,42,79,54
927,Male,56,124,87
928,Female,28,104,56
929,Male,57,68,73
930,Male,35,58,99
931,Female,53,95,66
932,Male,49,104,36
933,Male,60,72,27
934,Female,23,53,71
935,Female,22,62,12
936,Male,39,80,80
937,Male,28,117,98
938,Male,59,118,90
939,Male,42,51,100
940,Male,26,43,44
941,Female,34,109,42
942,Female,36,70,86
943,Female,36,62,64
944,Female,49,52,36
945,Male,26,96,61
946,Male,54,123,46
947,Male,38,103,70
948,Female,45,85,29
949,Female,45,95,4
950,Male,55,121,27
951,Male,46,77,56
952,Male,48,125,84
953,Male,26,43,15
954,Female,36,105,75
955,Male,54,111,59
956,Male,57,104,57
957,Female,32,101,17
958,Female,58,128,43
959,Female,59,98,24
960,Male,59,77,61
961,Male,52,55,48
962,Male,25,66,37
963,Male,53,72,80
964,Female,40,86,75
965,Male,27,113,66
966,Male,40,79,62
967,Female,26,98,79
968,Female,46,71,37
969,Male,26,67,37
970,Male,49,73,17
971,Male,22,75,69
972,Female,41,120,52
973,Male,22,56,94
974,Male,25,63,1
975,Female,38,48,96
976,Male,44,56,29
977,Female,27,130,17
978,Male,37,105,70
979,Male,22,70,51
980,Female,38,87,81
981,Male,34,73,77
982,Female,56,77,10
983,Male,58,98,19
984,Female,53,125,21
985,Female,47,46,88
986,Male,46,93,100
987,Female,57,83,85
988,Male,26,59,66
989,Male,25,94,3
990,Male,45,52,71
991,Female,32,115,22
992,Female,24,115,43
993,Female,41,108,70
994,Female,23,59,100
995,Male,60,126,50
996,Female,57,95,20
997,Male,60,116,24
998,Female,37,78,100
999,Male,46,128,95
1000,Female,56,105,1
1001,Female,37,84,36
1002,Male,39,127,10
1003,Male,37,126,83
1004,Female,39,101,17
1005,Female,48,91,89
1006,Male,42,56,2
1007,Female,52,59,61
1008,Male,31,60,95
1009,Female,23,95,51
1010,Male,49,41,56
1011,Female,31,67,43
1012,Male,40,100,37
1013,Female,53,83,31
1014,Male,55,101,6
1015,Female,47,100,75
1016,Female,29,63,57
1017,Female,31,85,79
1018,Female,27,59,19
1019,Female,27,51,24
1020,Female,51,78,19
1021,Male,38,44,8
1022,Male,44,63,90
1023,Male,41,95,76
1024,Female,31,78,81
1025,Female,57,113,66
1026,Female,31,86,12
1027,Male,43,42,71
1028,Female,40,94,28
1029,Female,22,91,51
1030,Male,30,128,88
1031,Female,46,108,77
1032,Female,23,84,18
1033,Female,26,112,83
1034,Female,34,88,1
1035,Male,37,79,9
1036,Female,35,95,15
1037,Female,42,84,19
1038,Male,40,116,49
1039,Female,32,76,92
1040,Female,47,101,56
1041,Male,43,98,27
1042,Male,29,91,70
1043,Male,38,119,39
1044,Female,54,128,86
1045,Male,22,84,9
1046,Female,47,95,41
1047,Male,53,76,13
1048,Female,41,77,79
1049,Female,47,112,25
1050,Female,27,65,54
1051,Female,42,43,70
1052,Male,27,63,81
1053,Male,48,76,75
1054,Female,54,77,28
1055,Male,48,75,48
1056,Male,57,68,99
1057,Male,25,89,7
1058,Male,29,79,56
1059,Female,54,61,31
1060,Female,51,81,7
1061,Female,33,40,67
1062,Female,30,45,58
1063,Male,30,106,6
1064,Female,45,129,19
1065,Male,57,76,89
1066,Female,48,94,34
1067,Female,29,75,85
1068,Female,27,127,11
1069,Male,33,70,88
1070,Male,40,102,22
1071,Female,32,66,74
1072,Male,39,62,56
1073,Female,55,49,12
1074,Female,48,127,21
1075,Female,39,64,61
1076,Female,52,73,52
1077,Male,41,106,70
1078,Female,49,70,100
1079,Male,51,109,33
1080,Male,50,107,60
1081,Male,48,86,80
1082,Female,27,83,60
1083,Female,49,116,35
1084,Female,48,42,16
1085,Female,52,79,3
1086,Female,44,124,6
1087,Female,60,87,25
1088,Male,33,116,73
1089,Male,46,126,77
1090,Female,27,44,16
1091,Male,58,105,64
1092,Male,32,112,40
1093,Female,44,54,57
1094,Male,39,99,44
1095,Female,59,121,84
1096,Male,56,47,91
1097,Female,47,97,54
1098,Female,36,68,47
1099,Male,58,111,42
1100,Female,40,94,99
1101,Male,46,54,99
1102,Male,56,51,80
1103,Male,56,65,98
1104,Male,47,55,93
1105,Female,32,74,87
1106,Female,28,59,99
1107,Female,57,86,75
1108,Female,54,86,3
1109,Female,41,130,9
1110,Female,38,103,75
1111,Male,57,128,36
1112,Male,41,64,14
1113,Male,35,122,67
1114,Male,48,103,13
1115,Female,47,105,9
1116,Male,31,114,42
1117,Male,27,104,44
1118,Male,51,59,14
1119,Male,49,124,55
1120,Male,53,77,48
1121,Female,54,42,50
1122,Male,60,55,59
1123,Male,36,76,65
1124,Male,43,90,2
1125,Female,29,120,23
1126,Female,33,58,84
1127,Female,40,130,17
1128,Male,24,51,67
1129,Male,22,41,23
1130,Male,43,112,14
1131,Male,60,58,75
1132,Male,53,109,78
1133,Male,39,67,1
1134,Female,58,95,13
1135,Male,25,81,77
1136,Female,46,55,23
1137,Female,36,122,31
1138,Female,55,92,44
1139,Male,56,118,62
1140,Male,58,73,74
1141,Female,47,62,85
1142,Male,39,61,50
1143,Female,39,105,5
1144,Male,45,45,26
1145,Male,50,81,49
1146,Female,39,118,96
1147,Male,58,115,64
1148,Female,47,82,10
1149,Male,59,96,79
1150,Female,52,74,33
1151,Female,53,62,38
1152,Male,37,94,16
1153,Female,24,63,62
1154,Male,32,79,34
1155,Male,29,112,77
1156,Male,44,71,12
1157,Female,56,107,2
1158,Male,22,44,61
1159,Male,46,84,76
1160,Male,36,64,9
1161,Female,35,71,71
1162,Female,25,74,45
1163,Male,55,106,44
1164,Female,32,64,28
1165,Female,27,64,6
1166,Female,60,81,22
1167,Female,22,46,27
1168,Female,24,130,72
1169,Female,32,120,56
1170,Male,31,63,62
1171,Male,31,105,74
1172,Male,54,82,83
1173,Female,50,42,38
1174,Female,24,126,42
1175,Male,54,124,82
1176,Male,27,63,15
1177,Female,37,53,77
1178,Male,38,87,29
1179,Male,55,99,54
1180,Male,42,83,22
1181,Female,51,51,98
1182,Male,36,77,35
1183,Female,55,110,98
1184,Female,47,86,96
1185,Female,30,119,88
1186,Female,45,105,40
1187,Male,26,98,73
1188,Female,54,45,89
1189,Male,45,83,83
1190,Male,40,63,31
1191,Male,59,124,52
1192,Male,45,46,23
1193,Male,33,67,79
1194,Female,55,108,33
1195,Female,48,130,10
1196,Male,28,116,44
1197,Female,44,45,78
1198,Male,25,56,100
1199,Male,35,109,64
1200,Male,25,71,26
1201,Female,55,58,68
1202,Male,52,53,13
1203,Female,49,124,99
1204,Male,53,100,57
1205,Male,43,110,4
1206,Male,28,72,37
1207,Female,44,40,52
1208,Male,23,46,84
1209,Male,50,69,28
1210,Female,23,87,90
1211,Male,27,124,22
1212,Male,25,44,30
1213,Male,23,44,2
1214,Male,46,46,36
1215,Female,31,94,92
1216,Male,33,60,4
1217,Female,55,106,23
1218,Male,33,122,38
1219,Male,25,85,41
1220,Male,39,101,67
1221,Female,40,97,17
1222,Male,56,104,12
1223,Female,28,120,51
1224,Female,58,41,30
1225,Female,22,80,6
1226,Male,29,119,31
1227,Male,32,71,46
1228,Male,51,84,57
1229,Female,60,108,64
1230,Male,50,107,69
1231,Female,50,53,82
1232,Female,35,76,1
1233,Female,60,40,30
1234,Female,29,99,14
1235,Female,47,130,68
1236,Male,30,129,94
1237,Female,26,92,86
1238,Female,53,71,17
1239,Male,38,82,34
1240,Male,23,81,67
1241,Female,43,121,83
1242,Female,48,58,18
1243,Male,42,108,7
1244,Male,40,51,47
